date,news_sentiment_1d_raw,news_topic_intensities_1d_raw,news_topic_entropy_1d_raw,news_sentiment_extreme_1d_raw
2020-04-17,-0.9999803852618525,"[0.1942663045117141, 0.014833141853583368, 0.0014218854064384817, 0.07891730396863693, 0.7105606536989735]",1.202184442281468,1.0
2020-04-18,-0.3346289395994651,"[0.256220741937269, 0.004936910152050707, 0.0257019985845056, 0.05037513276682052, 0.6627643706622394]",1.2874208856312594,1.0
2020-04-19,0.13844774642239122,"[0.22623646353612498, 0.005161985503607616, 0.49211783847475865, 0.07115235446859963, 0.205330648816665]",1.7679633004409836,0.5
2020-04-20,0.3332985411602336,"[0.41648865479100444, 0.0034153686825701955, 0.0005185646159633007, 0.10885815227102151, 0.4707186061874847]",1.4199303264279388,1.0
2020-04-21,-0.20220185629246715,"[0.5649267222655028, 0.0014031252543428307, 0.010794819222150791, 0.3890946944651618, 0.0337796934099918]",1.2442253687343112,1.0
2020-04-22,-0.0006061455621154319,"[0.12783232344503087, 0.003995679131420074, 0.001644708217931537, 0.2876053010950492, 0.5789211611296798]",1.3999924129485815,0.5
2020-04-23,0.8038644886062423,"[0.11893609397820734, 0.008508625580088015, 0.004710759427568978, 0.2860211113868308, 0.5818225592230687]",1.4313720569499144,0.75
2020-04-24,0.9997627022202886,"[0.2151840513343031, 0.28483267509624294, 0.00015774322185883999, 2.5755623907375084e-05, 0.4997989901061616]",1.4954622846979173,1.0
2020-04-25,0.29828178663467064,"[0.2814263262896939, 0.001962781928873039, 4.9449932147570815e-05, 0.0005277819966622112, 0.7160326938425499]",0.8839391072742048,0.75
2020-04-26,0.33105887264840483,"[0.4678212530857253, 0.17271570053622098, 0.01936204984855241, 0.003261965644244159, 0.33683819268537646]",1.6162178510110234,1.0
2020-04-27,-0.46323596347773727,"[0.330671899519321, 0.007306216730964082, 0.563106160243987, 0.031734447390836605, 0.06718044544733702]",1.4660124761119104,0.5
2020-04-28,-0.4997978470212332,"[0.25394995645301277, 0.0009997920448836664, 0.4906041759500729, 0.25253346800593324, 0.0019116169454642675]",1.5348092345512752,1.0
2020-04-29,-0.9999868049791111,"[0.22777960062641822, 0.008138135171879442, 0.02060323671901003, 0.25724576260697285, 0.4862327241111496]",1.6677404422240047,1.0
2020-04-30,-0.23377056142858843,"[0.4604086075166097, 0.020367190411551564, 0.02882361533103644, 0.006491827267916552, 0.4839078486639046]",1.3310206203716606,0.75
2020-05-01,-0.999924583821114,"[0.3891041637988563, 0.008225903397485659, 0.008667871488974894, 0.023236118070509345, 0.5707651305213244]",1.2340964743132457,1.0
2020-05-02,-0.9999131025214381,"[0.5439785046667462, 0.027083095002491692, 0.0002655133207068187, 0.030689167206335355, 0.3979831758252153]",1.3052351986801398,1.0
2020-05-03,-0.9999548646108141,"[0.0031218202864840817, 0.00011371229562291232, 6.279789387141503e-05, 0.015853911573535735, 0.9808467771037087]",0.15050615145862045,1.0
2020-05-04,0.9997654016163092,"[0.5920153947529762, 0.011908859741510569, 0.016794184053756874, 0.06239796353564969, 0.31688300590071194]",1.3979972898876527,1.0
2020-05-05,-0.09423433471119794,"[0.30985026020787854, 0.25396273323051005, 0.001960413198785179, 0.28275413824355594, 0.15147164759430853]",1.971279169226453,0.75
2020-05-06,0.49815072779680164,"[0.500013396239838, 0.49994008880458246, 1.0613949884558512e-05, 5.493310110954929e-06, 2.940779235186882e-05]",1.000734250140071,0.5
2020-05-07,-0.012418594881328343,"[0.433277874329146, 0.005315661436840036, 0.14325290372553945, 0.031693364109977404, 0.3864593839807259]",1.6524560374014572,0.5714285714285714
2020-05-08,0.008498144230901018,"[0.3342241197315307, 0.0065369396932804325, 0.002798557256882944, 0.008899478793613793, 0.6475400713541783]",1.066224720687379,0.0
2020-05-09,0.9987050929224431,"[0.5905595144099406, 0.04146378588627795, 0.02677103225759699, 0.06224451487643888, 0.27896056201023123]",1.5421201584882238,1.0
2020-05-10,0.952450364101944,"[0.00572766982645229, 3.0056052798744433e-05, 3.703632389447234e-06, 0.00041491101060061713, 0.9938226656550934]",0.05672165874317278,1.0
2020-05-11,0.2427898399916554,"[0.24595120784077795, 0.009112858388199198, 0.0010772837632237846, 0.2120601792882338, 0.531797543701888]",1.5290519173857033,0.4
2020-05-12,0.3332882931814,"[0.16238109837035528, 0.006448265672227452, 0.2659944848448753, 0.04244746473222933, 0.5227279378249182]",1.6636532858965325,1.0
2020-05-13,-0.15023264425440913,"[0.24695066084845382, 0.031083123402291517, 0.0013827586780259264, 0.21417718120417012, 0.5064053695134427]",1.6403110498117848,0.6
2020-05-14,0.006042449267234351,"[0.4689119123811309, 0.011847303417607868, 0.023592781336790283, 0.0058617786978755766, 0.48978528974685487]",1.2635159636171418,1.0
2020-05-15,-0.5245768476159418,"[0.2895118781364538, 0.004700454562494502, 0.12483850889353183, 0.16106381897148264, 0.419884491909417]",1.8787910315590932,0.6666666666666666
2020-05-16,0.41735077565601714,"[0.4476749662912121, 0.02359533877275351, 0.029612818755279977, 0.07872493555248118, 0.4203912718994826]",1.6112312937128628,0.3333333333333333
2020-05-17,0.9997152557580614,"[0.013017193487351015, 0.0001915744179393474, 7.428146296421429e-06, 5.319829455306659e-05, 0.9867296189242414]",0.10379642055342468,1.0
2020-05-18,-0.9969617184070297,"[1.7231479262596194e-05, 0.9999773430411516, 4.2227556000899205e-06, 1.7429393920719263e-07, 2.845270342349723e-08]",0.00038402370113519525,1.0
