date,news_topic_intensity_MonetaryPolicyRF_raw_z,news_sentiment_1d_raw_z,news_topic_intensity_OilGasEnergy_raw_z,news_topic_intensity_MacroRF_raw_z,news_topic_entropy_1d_raw_z,news_topic_intensity_FiscalPolicyCorp_raw_z,news_topic_intensity_GeopoliticsSanctions_raw_z,news_sentiment_extreme_1d_raw
2020-06-15,-0.01981,0.34390,0.11618,-0.46138,-0.04474,1.03166,-0.78560,1.00000
2020-06-16,-0.83610,0.08273,0.97265,-0.03238,-0.13236,0.34040,0.12210,1.00000
2020-06-17,-0.52403,0.11704,1.16051,0.25271,0.74345,0.36354,1.23434,0.66667
2020-06-18,-0.51764,-0.48375,1.05216,-0.48973,0.47604,-0.13559,-0.19029,0.50000
2020-06-19,-0.16375,-0.51360,-0.94292,1.72024,-0.26932,0.39104,-0.74201,0.20000
2020-06-20,-0.87066,1.21554,1.07629,-1.15036,-1.14901,0.59079,-0.19563,1.00000
2020-06-21,-0.91005,0.05792,0.63506,-0.25752,-0.71362,0.95273,-0.74221,0.75000
2020-06-22,-0.75822,0.04251,0.30611,1.16014,0.12848,-0.26414,-0.69401,1.00000
2020-06-23,-0.91007,0.08037,-0.19569,0.82349,-0.14012,1.41106,-0.03309,0.83333
2020-06-24,-0.90814,-1.18133,0.24681,0.84996,-1.25330,-1.22122,-0.33298,1.00000
2020-06-25,-0.89554,-1.34156,0.63485,0.03133,0.23470,0.47835,-0.47627,0.62500
2020-06-26,-1.51247,-1.64269,1.27810,0.30902,-0.49733,0.65945,-0.01783,
2020-06-27,-0.88349,-0.88117,-0.91536,1.41347,-1.51372,1.03073,-0.93731,1.00000
2020-06-28,-0.91006,0.72471,1.86622,-0.66594,-1.12021,-0.18214,1.06700,1.00000
2020-06-29,-0.31119,-1.05464,-0.35722,1.41013,0.00443,0.51924,-0.60560,1.00000
2020-06-30,-0.53935,-1.01302,-0.06308,0.47016,0.67175,-0.45553,-0.37132,1.00000
2020-07-01,1.00714,-1.66785,1.15396,1.23339,0.58547,1.65672,1.78418,
2020-07-02,0.27038,0.26004,0.48772,1.21627,0.83782,-0.11131,-0.16677,0.40000
2020-07-03,-0.00345,-0.96152,-0.70646,0.76326,0.13649,0.64954,-0.94736,0.66667
2020-07-04,3.10021,0.65707,-0.75528,-0.83119,0.04761,-1.02460,1.14139,0.50000
2020-07-05,-0.85012,2.52223,-1.05705,-1.22847,-2.71371,1.15005,-1.09230,0.50000
2020-07-06,0.20185,-0.59978,1.32945,0.81208,0.79861,0.33983,0.70205,0.25000
2020-07-07,-0.84247,-1.39114,-0.09273,0.52965,-0.34032,0.66191,-0.64316,1.00000
2020-07-08,-1.51247,-0.91296,-0.75586,0.92526,-0.81427,-1.04617,-0.58210,
2020-07-09,-0.64816,0.18156,-0.07267,1.25985,0.43066,0.19331,-0.52464,0.66667
2020-07-10,-0.58307,0.21624,0.29796,0.79781,0.09586,-0.83195,-1.18967,1.00000
2020-07-11,-1.51247,-1.50010,-1.13783,3.08213,-1.55485,-0.30055,-0.49109,
2020-07-12,-1.51247,1.10007,2.87280,-2.25868,-4.27785,2.21595,-2.03827,
2020-07-13,-0.16593,0.33705,-0.76988,-0.20603,-0.36878,0.62448,-1.10648,0.66667
2020-07-14,-0.59935,-0.05552,-0.11398,0.06663,0.48440,0.40291,-0.38679,0.80000
2020-07-15,-0.57940,0.27986,-0.34241,0.84199,0.65202,0.11671,-0.25128,0.00000
2020-07-16,-0.88731,-0.41670,-0.35240,-0.28360,0.41062,-0.59158,0.51276,0.75000
2020-07-17,0.00241,-0.67867,-0.60128,1.16627,0.16508,-0.95372,-0.96632,0.50000
