date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2020-07-08,0.28226,0.82582,,-1.00165,0.05333,,,-2.10264,-0.07362,,,
2020-07-09,0.22194,0.89198,,-1.03766,0.30903,,,-2.01278,0.04648,,,
2020-07-10,-0.08381,0.35570,,-0.75903,0.45326,,,-1.61967,0.42168,,,
2020-07-11,-0.13295,0.22730,,-0.52219,1.22564,,,-2.53724,1.13666,,,
2020-07-12,0.99106,-1.45756,,2.30939,-1.85982,,,-2.43488,0.50374,,,
2020-07-13,-0.78591,-0.66275,,0.98542,-0.93907,,,-2.14754,0.06435,,,
2020-07-14,0.29877,0.61604,,-0.57259,-0.32874,,,-1.98716,0.28621,,,
2020-07-15,0.39030,0.89583,,-0.65019,0.30917,,,-1.11049,1.63946,,,
2020-07-16,-0.19949,0.71901,,-0.65072,-0.80989,,,-1.01347,1.68263,,,
2020-07-17,0.01526,-0.00427,,-0.01527,1.22294,,,-0.80977,1.25741,,,
2020-07-18,0.70320,-2.02241,,-0.29874,-0.67350,,,-0.80686,1.06768,,,
2020-07-19,-0.87813,-2.83959,,-0.86998,1.25436,,,-2.04312,-0.61243,,,
2020-07-20,1.10420,-0.06106,,-0.78618,-0.65984,,,-1.48217,-0.60385,,,
2020-07-21,0.03336,0.62282,,-0.56771,-0.22358,,,-1.39023,-0.69251,,,
2020-07-22,-0.31443,0.53352,,-0.45342,-1.09373,,,-1.22579,-1.34159,,,
2020-07-23,0.45278,-0.00219,,-0.50432,1.43789,,,-1.23328,-1.92439,,,
2020-07-24,-0.37079,0.40411,,-0.15774,0.23128,,,-0.75097,-1.75329,,,
2020-07-25,0.53942,-1.87950,,0.92449,-1.33161,,,-1.17723,-2.35689,,,
2020-07-26,-0.01980,-0.89358,,0.45342,-1.20705,,,-0.48977,-2.20354,,,
2020-07-27,-1.33762,0.11217,,0.51735,1.46685,,,-0.08433,-2.58758,,,
2020-07-28,1.54263,0.61803,,-0.05170,0.45599,,,0.74505,-2.04943,,,
2020-07-29,-0.61343,0.75917,,0.27764,-0.46952,,,0.29021,-1.98262,,,
2020-07-30,-0.16408,0.25018,,-0.55473,0.28364,,,0.16598,-2.24594,,,
2020-07-31,0.91536,1.40858,,-0.88881,-0.67852,,,-0.22003,-1.61816,,,
2020-08-01,-0.54182,0.55641,,-0.01837,0.82632,,,-0.07411,-1.47773,,,
2020-08-02,0.57041,-0.37462,,-0.80273,-0.77661,,,0.52223,-1.12221,,,
2020-08-03,-0.99968,0.22014,,-0.91059,-0.94642,,,-0.12110,-0.74773,,,
2020-08-04,0.41530,0.33824,,-0.82382,-0.67923,,,-0.53059,-0.88535,,,
2020-08-05,-0.39121,0.24105,,-0.84284,1.44667,,,-0.39645,-1.25105,,,
2020-08-06,0.68357,0.21068,,0.82186,0.18798,,,0.33654,-1.55275,,,
2020-08-07,-0.20212,-0.70127,,-0.35922,-0.90247,,,1.06336,-1.99870,,,
2020-08-08,0.23373,-0.37125,,2.78487,-0.96585,,,1.70570,-1.43873,,,
2020-08-09,0.45207,-2.47269,,-0.58245,1.77663,,,2.00654,-1.08491,,,
2020-08-10,-1.92751,-0.92043,,2.94298,-0.80334,,,1.84979,-1.49015,,,
2020-08-11,1.38198,1.52521,,0.04988,-0.24679,,,2.40060,-1.12911,,,
2020-08-12,-0.77248,1.14811,,-0.59447,-0.29130,,,2.32996,-0.84863,,,
2020-08-13,0.64358,-0.97199,,-0.80802,-0.76415,,,2.60499,-1.30391,,,
2020-08-14,-0.45226,1.31167,,-0.79946,0.46903,,,2.22393,-0.83030,,,
2020-08-15,0.61553,-1.06539,,2.26302,-1.52907,,,2.09615,-0.33865,,,
2020-08-16,0.90600,-0.16735,,1.69818,-0.95141,,,1.45489,0.10736,,,
2020-08-17,-2.34490,0.37293,,0.20837,1.29965,,,1.11032,0.30947,,,
2020-08-18,1.49715,0.09666,,-0.58137,-0.96754,,,1.19819,0.10927,,,
2020-08-19,-1.23572,0.45613,,-0.41523,0.63286,,,1.86176,-0.00340,,,
