link,date,headline,description,category
https://www.rbc.ru/rbcfreenews/662170dc9a794747d6852189,"18 апр 2024, 22:57",,"Четырехлетней девочке из США Луне Феннер, которой в 2019 году в Краснодаре удалили большое родимое пятно на лице («маску Бэтмена»), сделают несколько пластических операций по коррекции рубцов в Центре лечения гигантских невусов МЕДСИ в Санкт-Петербурге. Об этом РБК сообщила руководитель и ведущий хирург центра доктор медицинских наук Ольга Филиппова.",
https://www.rbc.ru/?video_id=6621516f9a7947adb661e298,,,,
https://www.rbc.ru/?video_id=66215bd39a7947a999abda35,,,,
https://www.rbc.ru/?video_id=6621516b9a7947fb83b5fda6,,,,
https://www.rbc.ru/economics/18/04/2024/662161659a79474d915490d4,"18 апр 2024, 22:09",,"Из-за утечки капитала в США компаниям в ЕС не хватает денег для развития, заявила Урсула фон дер Ляйен. По словам Шарля Мишеля, в ЕС €33 трлн частных сбережений и нужно «найти способы направить их в компании»",
https://www.rbc.ru/rbcfreenews/66217f739a79479db3ade5b1,"18 апр 2024, 23:41",,"Военная техника, которая примет участие в параде Победы 9 мая, направилась в Москву,сообщаетдепартамент информации и массовых коммуникаций Минобороны.",
https://www.rbc.ru/rbcfreenews/662157519a7947985c2ba27d,"18 апр 2024, 20:57",,"После нападения на журналистов «Известий» во время съемок в Москве возбуждено уголовное дело,сообщилапресс-служба столичного управления Следственного комитета.",
https://www.rbc.ru/rbcfreenews/662147309a7947fdc97810ca,"18 апр 2024, 19:35",,Президент России Владимир Путин в ходе встречи по видеосвязи с губернатором Мурманской области Андреем Чибисом поинтересовался состоянием его здоровья после нападения.,
https://www.rbc.ru/politics/18/04/2024/662131bc9a794796305ef991,"18 апр 2024, 18:42",,"Bloomberg пишет, что российско-индийская торговля нефтью стала напоминать игру «ударь крота»: США расширяют антироссийские санкции, но одновременно с этим появляются новые компании, которые поставляют нефть Индии",
https://www.rbc.ru/politics/18/04/2024/662167289a79471c1bd8d491,"18 апр 2024, 22:11",,"Зампред правительства Пермского края и бывший мэр Перми Дёмкин отметил, что «осознает всю ответственность» за высказывание сына. Илья Дёмкин ранее опубликовал видео с Бали, на котором задался вопросом «На хрена мне Пермь?»",
https://www.rbc.ru/sport/18/04/2024/6621520b9a79473193810411,"18 апр 2024, 20:28",,"Артемий Панарин считает, что ему надо забыть об успешном регулярном чемпионате и настроиться на плей-офф, где от его команды ждут только чемпионства. В первом раунде «Рейнджерс» сыграют с «Вашингтоном»",
https://www.rbc.ru/rbcfreenews/66213a3a9a79471a3b1aff32,"18 апр 2024, 19:05",,"Экспорт швейцарских часов пережил самое большое снижение за четыре года в связи с падением спроса на ключевых рынках, в том числе в Китае,сообщаетBloomberg.",
https://www.rbc.ru/sport/18/04/2024/662177fd9a79470fe10ff4d4,"18 апр 2024, 23:33",,В полуфинале британский клуб сыграет с победителем пары «Олимпиакос» — «Фенербахче»,
https://www.rbc.ru/politics/18/04/2024/662173fd9a79472cde89a671,"18 апр 2024, 23:12",,"В Совбезе продолжаются дискуссии о желании Палестины получить полноправное членство в ООН. США предлагают обсудить этот вопрос с Израилем, Палестина напоминает, что тот сам стал членом ООН через голосование, а не переговоры",
https://www.rbc.ru/rbcfreenews/662177489a79477d80b401c0,"18 апр 2024, 23:09",,"Мужчину, которого подозревают в убийстве жителя Москвы из-за конфликта на парковке, объявили в федеральный розыск, сообщил источникТАССв правоохранительных органах.",
https://www.rbc.ru/politics/18/04/2024/662152309a79479aaedf4ac5,"18 апр 2024, 20:56",,"Минторг США расширил экспортный контроль, ограничив поставки подпавших под санкции товаров в Россию, Иран и Белоруссию. Вашингтон ввел и ограничения против лиц, связанных с производством иранских БПЛА. Москва осуждает санкции",
https://www.rbc.ru/rbcfreenews/662127f99a7947f08225ebc1,"18 апр 2024, 17:36",,Мировой судья участка № 340 московского районаВосточное Дегуниновзыскал с актера Семена Трескунова (признан иноагентом) задолженность по коммунальным услугам в размере более 10 тыс. руб. Об этом сообщает пресс-служба столичных судов общей юрисдикции втелеграм-канале.,
https://www.rbc.ru/rbcfreenews/662122c59a7947a8f84dfb19,"18 апр 2024, 17:34",,"Корпорация Google уволила 28 сотрудников, которые устроили протест против контракта корпорации с правительством Израиля. Об этомсообщаетThe Wall Street Journal со ссылкой на распространенное внутри компании электронное письмо вице-президента Google по глобальной безопасности Криса Рэкоу.",
https://www.rbc.ru/rbcfreenews/662113719a79476cf8737a94,"18 апр 2024, 16:40",,"Ученик лицея в Санкт-Петербурге получил травму грудного отдела позвоночника, когда натолкнулся на руку учителя информатики Алексея Григорика. Ему сделали выговор, а уголовное дело в отношении него скоро будет передано в суд, рассказал РБК начальник отдела образования администрации Калининского района Андрей Протасов.",
https://www.rbc.ru/rbcfreenews/66212a4f9a7947d453a55a04,"18 апр 2024, 17:40",,⁠Австралийская компания Tigers Realm Coal (TIG) договорилась с «АПМ-инвест» предпринимателя Марка Бузука о продаже своих угольных активов на Чукотке. Об этом говорится взаявленииTIG.,
https://www.rbc.ru/rbcfreenews/662113c59a7947504434d794,"18 апр 2024, 16:40",,"Киевская полиция к началу апреля получила от территориального центра комплектования (ТЦК, аналог военкомата) более 5 тыс. запросов по розыску уклонистов от мобилизации. Об этом сообщает телеканал Ukraine World News со ссылкой на пресс-службу столичного управления нацполиции Украины.",
https://www.rbc.ru/politics/18/04/2024/66212cb49a79470eca5a546d,"18 апр 2024, 18:06",,"Под санкции Вашингтона и Лондона попали иранские физлица и организации, связанные с КСИР, Минобороны страны и разработкой беспилотников",
https://www.rbc.ru/politics/18/04/2024/662122819a794734a8f7a0eb,"18 апр 2024, 17:24",,"Сейчас Аргентина имеет статус основного союзника США вне НАТО, который позволяет стране участвовать в некоторых совместных оборонных инициативах и мероприятиях против терроризма. Буэнос-Айрес хочет укрепить связи с альянсом",
https://www.rbc.ru/sport/18/04/2024/66211f659a7947bd7603c134,"18 апр 2024, 16:54",,"«Барселона» заплатит €25 тыс. за расистское поведение болельщиков, €5 тыс. за сломанные сиденья на стадионе ПСЖ и еще €2 тыс. за пиротехнику. По итогам двух матчей каталонцы не смогли выйти в полуфинал Лиги чемпионов",
https://www.rbc.ru/?video_id=662126999a79473bbd196654,,,,
https://www.rbc.ru/politics/18/04/2024/6621251c9a7947d895727a63,"18 апр 2024, 16:51",,"Суд арестовал мужчину, который подорвал автомобиль Василия Прозорова. Последний, по его заявлениям, в 1999–2018 годах работал в СБУ, а с 2014 года сотрудничал с российскими спецслужбами",
https://www.rbc.ru/sport/18/04/2024/662134989a79470f5b050499,"18 апр 2024, 18:06",,"Анастасия Павлюченкова получила на турнире первый номер посева, но смогла одержать только одну победу. В Руане из представительниц России осталась только Мирра Андреева",
https://www.rbc.ru/rbcfreenews/662120f99a79473d6430825f,"18 апр 2024, 17:16",,"Молодой человек убит в Москве из-за замечания о неправильно припаркованном автомобиле. Подозреваемый скрылся. Следователи установили его личность, задержали его близких, проверяется законность их нахождения в России",
https://www.rbc.ru/rbcfreenews/662124ac9a7947eae81fb3de,"18 апр 2024, 17:05",,,
https://www.rbc.ru/rbcfreenews/662121b59a79479bcf3555a7,"18 апр 2024, 16:58",,Умер режиссер Российского академического молодежного театра (РАМТ) Александр Пономарев. Об этом сообщила пресс-служба театра втелеграм-канале.,
https://www.rbc.ru/rbcfreenews/66211f789a7947bd7603c136,"18 апр 2024, 16:47",,,
https://www.rbc.ru/?video_id=662138459a79474b91a2b81a,,,,
https://www.rbc.ru/sport/18/04/2024/66212bff9a79476bdda2808d,,,,
https://www.rbc.ru/rbcfreenews/66211ac59a7947fdd250ace4,,,,
https://www.rbc.ru/politics/18/04/2024/662133b59a7947c64660b692,,,,
https://www.rbc.ru/society/18/04/2024/662119d29a79471b1266c8a7,,,,
https://www.rbc.ru/rbcfreenews/6620f65e9a794713eed50937,,,,
https://www.rbc.ru/rbcfreenews/6620fdd39a794762213ffbdf,,,,
https://www.rbc.ru/rbcfreenews/6621046b9a79476acd6f1129,"18 апр 2024, 14:58",,Хамовнический суд Москвы избрал заочный арест трем командирам вооруженных сил Украины (ВСУ) по уголовному делу об убийствах.,
https://www.rbc.ru/?video_id=6621166b9a7947161ff01ca4,,,,
