date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-05-19,-0.138000,0.057070,0.181220,0.002990,1.239360,-0.384650,-0.408730,0.000000,0.000000,0.000000,0.000000,,0.204701,-1.462116,-0.001840,-1.107392,-1.001699,1.167269,-1.638474,-1.695290,1.624665,2.532733,3.007639
2020-05-20,-1.134160,1.475680,,-0.100210,1.073570,-0.059090,1.919920,0.000000,0.000000,0.000000,0.000000,,1.189859,-1.258517,-0.023029,-1.164567,0.034393,1.562917,-1.614566,-1.667899,1.798179,2.611356,-0.287764
2020-05-21,2.178190,-0.611640,-1.581160,-0.177800,-0.588890,-0.326610,-0.854230,0.000000,0.000000,0.000000,0.000000,,-1.470295,-0.983856,0.008977,-1.312191,1.258974,1.866932,-1.592160,-1.644338,1.954311,2.666058,-1.550693
2020-05-22,-1.235820,-0.688640,0.813380,-0.666660,-1.203280,-0.189680,-0.930570,0.000000,0.000000,0.000000,0.000000,,-0.505086,-1.205081,0.009010,-1.541312,1.886599,2.140358,-1.575606,-1.627808,2.073212,2.694485,4.308711
2020-05-25,-0.862160,0.320460,0.014680,0.838030,-0.639680,-0.416360,-1.162370,0.000000,0.000000,0.000000,0.000000,,1.061020,-1.634220,-0.006541,-1.755635,2.251996,2.251183,-1.557635,-1.609233,2.166925,2.715023,3.870096
2020-05-26,0.675580,-0.195980,0.929860,-1.177690,-0.383030,0.920480,-0.529590,0.000000,0.000000,0.000000,0.000000,,-0.306579,-1.543981,-0.013090,-1.888393,2.360370,2.245578,-1.538463,-1.591079,2.251940,2.719503,2.654445
2020-05-27,-0.240930,0.832330,0.552700,-1.225240,0.261580,-0.302150,-0.028480,0.000000,0.000000,0.000000,0.000000,,-0.605288,-1.680112,0.011949,-1.974616,2.054399,2.256684,-1.515475,-1.565789,2.316461,2.719976,-2.333216
2020-05-28,0.136990,-0.128350,0.265030,-0.626320,-0.306640,-0.411030,-0.443480,0.000000,0.000000,0.000000,0.000000,,0.778587,-1.435314,-0.003796,-2.047460,1.837429,2.257743,-1.493370,-1.540391,2.374438,2.710633,1.119356
2020-05-29,0.448880,-0.230920,0.773360,-0.087780,1.247220,-0.528270,-0.499900,0.000000,0.000000,0.000000,0.000000,,-1.354051,-1.150705,0.009436,-2.069238,1.559859,2.111518,-1.467907,-1.511759,2.430589,2.700619,1.976159
2020-06-01,1.358300,0.868220,-0.113620,2.297400,0.321110,-0.116190,0.777140,0.000000,0.000000,0.000000,0.000000,,0.309755,-1.336517,-0.020904,-2.067791,1.377089,1.944427,-1.434762,-1.470898,2.525962,2.678460,11.529663
2020-06-02,-0.369940,0.382420,0.171980,-0.821200,1.513980,-0.241220,-0.109570,0.000000,0.000000,0.000000,0.000000,0.000000,1.047330,-1.070467,-0.010044,-2.064093,1.306398,1.870982,-1.401361,-1.426200,2.579460,2.651717,1.936016
2020-06-03,-0.118940,-1.247620,0.830640,-0.801020,-1.420290,-0.414240,3.473320,0.000000,0.000000,0.000000,0.000000,0.000000,0.650337,-1.063903,-0.007896,-2.136691,1.361464,1.865819,-1.372826,-1.386519,2.591102,2.611330,-0.449673
2020-06-04,-0.708960,0.771470,0.147530,0.018050,0.669560,-0.309410,-0.451940,0.000000,0.000000,0.000000,0.000000,0.000000,-1.747241,-0.321579,0.002478,-2.069743,1.224436,1.755892,-1.349088,-1.356795,2.557188,2.569369,-4.120383
2020-06-05,1.491920,0.764900,0.817460,0.147840,-0.542750,-0.284360,-0.267160,0.000000,0.000000,0.000000,0.000000,0.000000,0.469223,-0.315214,-0.016743,-2.041808,1.124221,1.710952,-1.321702,-1.325556,2.518419,2.527242,3.552610
2020-06-08,-0.816330,0.643110,-0.627010,-0.039910,0.658070,-0.174400,-0.347730,0.000000,0.000000,0.000000,0.000000,0.000000,-0.110118,-0.237775,0.002292,-1.996126,1.165061,1.671749,-1.289767,-1.285996,2.524528,2.479423,-0.903563
