TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2020-07-17,0.59276,-1.463139,,0.0,-2.088697,1.149787,,0.820695,1.902895,2.026156
2020-07-20,1.040478,-1.219391,,0.0,-1.896562,1.599635,,0.962075,1.877863,1.999044
2020-07-21,0.783444,-1.164047,,0.0,-1.078846,2.25205,,1.105887,1.853289,1.970379
2020-07-22,0.230721,-1.374687,,0.0,-0.452186,2.532012,,1.243153,1.820813,1.942687
2020-07-23,0.555752,-1.201544,,0.0,0.452642,2.673527,,1.379877,1.783073,1.912193
2020-07-24,0.349,-1.301693,,0.0,0.734113,2.553673,,1.518015,1.751934,1.885735
2020-07-27,0.727969,-1.544051,,0.0,1.513955,2.627158,,1.622717,1.720293,1.859413
2020-07-28,0.186938,-1.425422,,0.0,2.131899,2.621328,,1.707684,1.685025,1.830051
2020-07-29,0.706559,-1.240855,,0.0,2.310178,2.58742,,1.793032,1.649208,1.801308
2020-07-30,-1.864045,-0.881498,,0.0,2.008091,2.496121,,1.848723,1.612787,1.772249
2020-07-31,1.066736,-1.313183,,0.0,1.785917,2.357876,,1.886152,1.579396,1.74527
2020-08-03,0.557317,-1.237366,,0.0,1.763679,2.245626,,1.902403,1.549968,1.720424
2020-08-04,0.25652,-1.632248,,0.0,1.704056,2.106694,,1.914905,1.522883,1.693421
2020-08-05,1.906443,-0.590433,,0.0,1.851989,2.091203,,1.938297,1.496864,1.667634
2020-08-06,-0.550203,-0.637972,,0.0,1.937378,2.061366,,1.944229,1.470889,1.643249
2020-08-07,-1.177799,-1.348793,,0.0,1.868026,2.04284,,1.944459,1.447076,1.621111
2020-08-10,-0.88718,-1.06244,,0.0,1.738403,1.97625,,1.936022,1.425176,1.60202
2020-08-11,1.577686,-1.563147,,0.0,1.682322,2.004251,,1.932184,1.402478,1.582458
2020-08-12,1.567662,-1.70675,,0.0,1.738061,2.080258,,1.934996,1.375659,1.562483
2020-08-13,0.460137,-1.608369,,0.0,1.816892,2.132788,,1.947049,1.348802,1.543422
2020-08-14,-1.492814,-0.661955,,0.0,1.811291,2.120791,,1.953646,1.321194,1.524282
2020-08-17,-1.016694,-0.157165,,0.0,1.800438,2.077432,,1.954315,1.283079,1.502568
2020-08-18,-0.61541,-0.118686,,0.0,1.754136,2.011507,,1.933424,1.240473,1.481165
2020-08-19,-0.244869,-0.150652,,0.0,1.659531,1.939075,,1.911395,1.203251,1.461265
2020-08-20,-2.566516,3.335884,,0.0,1.307265,1.830148,,1.868562,1.165454,1.439676
2020-08-21,-0.18734,2.667114,,0.0,0.896009,1.733019,,1.839527,1.126458,1.420761
2020-08-24,0.920187,2.445607,,0.0,0.556867,1.670671,,1.821163,1.091248,1.40311
2020-08-25,-0.264917,2.010959,,0.0,0.276791,1.604759,,1.796533,1.056228,1.386765
2020-08-26,0.541561,1.816258,,0.0,-0.010447,1.558272,,1.779673,1.020858,1.370177
2020-08-27,-1.501423,2.046526,,0.0,-0.579068,1.478831,,1.760673,0.990578,1.354299
2020-08-28,-1.262864,1.694507,,0.0,-1.418475,1.415518,,1.732519,0.962966,1.339672
2020-08-31,-0.583632,1.420772,,0.0,-1.895214,1.33541,,1.71319,0.937183,1.324839
2020-09-01,0.235286,1.22712,,0.0,-2.010698,1.262077,,1.695193,0.91142,1.312721
2020-09-02,-0.677261,1.189256,,0.0,-1.806998,1.181253,,1.668479,0.883699,1.299692
2020-09-03,-0.825872,0.506882,,0.0,-1.4841,1.050459,,1.634734,0.854357,1.290502
2020-09-04,-0.275626,0.470573,,0.0,-1.209962,0.921091,,1.614045,0.831625,1.283663
2020-09-07,0.482718,0.405761,,0.0,-1.018394,0.818616,,1.593812,0.811396,1.278649
2020-09-08,-1.460992,0.798777,,0.0,-0.612544,0.682827,,1.568233,0.790504,1.278561
2020-09-09,-0.265489,0.01761,,0.0,-0.159427,0.458928,,1.542327,0.771842,1.278607
2020-09-10,1.236792,-0.818371,,0.0,0.439647,0.141278,,1.523949,0.751406,1.279569
2020-09-11,0.917146,-1.230184,,0.0,0.842178,-0.292571,,1.515914,0.730841,1.282415
2020-09-14,1.031645,-1.107609,,0.0,0.821059,-0.764074,,1.516139,0.7098,1.288668
2020-09-15,2.082687,0.18453,,0.0,0.102097,-1.152491,,1.520364,0.68499,1.294055
2020-09-16,-0.074666,0.090934,,0.0,-0.70725,-1.513077,,1.524471,0.656063,1.302342
2020-09-17,0.026665,-0.082409,,0.0,-1.334098,-1.764945,,1.529627,0.62293,1.309084
2020-09-18,-0.758159,-1.742564,,0.0,-1.738603,-1.788328,,1.523973,0.582756,1.310232
2020-09-21,-2.767467,1.81548,,0.0,-1.261718,-1.926027,,1.500906,0.542505,1.313726
2020-09-22,0.967027,1.358391,,0.0,-0.930272,-1.979151,,1.476431,0.498705,1.318372
2020-09-23,1.231233,1.727928,,0.0,-1.329806,-1.919911,,1.464869,0.45661,1.322822
2020-09-24,0.096417,1.313377,,0.0,-1.317111,-1.895352,,1.453067,0.408146,1.327473
2020-09-25,-0.367394,0.940271,,0.0,-1.217156,-1.830381,,1.437809,0.358325,1.336211
2020-09-28,1.127418,1.069647,,0.0,-1.310169,-1.694969,,1.433806,0.318998,1.346259
2020-09-29,-0.492138,1.049089,,0.0,-1.232338,-1.596174,,1.417747,0.274113,1.354805
2020-09-30,-0.036207,0.95235,,0.0,-1.189201,-1.540163,,1.39914,0.248704,1.366443
2020-10-01,-0.445167,0.895122,,0.0,-1.129434,-1.498864,,1.371334,0.234122,1.378274
2020-10-02,-1.150418,1.056198,,0.0,-0.641418,-1.485661,,1.339253,0.206724,1.389197
2020-10-05,1.047899,1.261793,,0.0,-0.410872,-1.424356,,1.316413,0.169491,1.397577
2020-10-06,0.425915,1.148302,,0.0,-0.664174,-1.380929,,1.304083,0.122641,1.407909
